name,description
Yasmin Fodil,I create experiences / services that solve public problems. Also - Adjunct Professor at @NYU_Wagner
Berkman-Klein Center for Internet and Society,"The Berkman Center for Internet & Society at Harvard University - exploring cyberspace, sharing in its study, and helping to pioneer its development"
Brookings Institution,Independent research and analysis on the most important policy issues in the world. Sign up for the daily Brookings Brief: https://t.co/poCFBQnDFH
World Wide Web Consortium,"The World Wide Web Consortium (W3C) develops interoperable technologies (specifications, guidelines, software, and tools) to lead the Web to its full potential."
John D. and Catherine T. MacArthur Foundation,"John D. & Catherine T. MacArthur Foundation supports creative people and effective institutions committed to building a more just, verdant, and peaceful world."
MoveOn.org,"America's largest independent online political group, with millions of members fighting to make our voices heard in our democracy and win progressive change."
New York City Economic Development Corporation,"NYCEDC fuels the City's economy by strengthening its businesses, creating jobs, and helping neighborhoods thrive. Use policy: http://t.co/9WXr36Axsw"
CivicLab,"A community space supporting DIY democracy through co-working; meeting, and event space; classes on civics and DIY practices; and original tools and research."
Ford Foundation,Working with visionaries on the frontlines of social change worldwide. Follow @FordFoundation President @DarrenWalker.
John D. Rockefeller Foundation,The Rockefeller Foundation's missionâ€”unchanged since 1913â€”is to improve the well-being of humanity around the world.
NYU Interactive Telecommunications Program,"A 2-year graduate program in Tisch, NYU to explore the creative uses of communication technologies - a Center for the Recently Possible."
Open Data Institute,@ukODI has moved to @odiHQ
Open Knowledge Foundation,See how data can change the world
Harvard Kennedy School Center for Democratic Governance and Innovation,"Making the world a better place by advancing excellence and innovation in governance and public policy through research, education, and public discussion."
Votizen,Votizen is now part of @JoinBrigade. Get the app for iOS or Android: https://t.co/BIGGo1SdTv
Democracy.com,"http://t.co/t17u6BN8rF is the first social network for civic action, connecting every candidate, organization and citizen through easy online action"
Nextdoor,"When neighbors start talking, good things happen. Discover your neighborhood at http://t.co/UG83a0iIeG."
Omidyar Network,A philanthropic investment firm harnessing the power of markets to create opportunity for people to improve their lives. #PositiveReturns
Alec Ross,Pre-Order: https://t.co/Vf74sjoCYP
Hillary Clinton,"Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed â€“H"
Clinton Foundation,"The Bill, Hillary & Chelsea Clinton Foundation transforms lives and communities from what they are today to what they can be, tomorrow."
Data & Society Research Institute,Our official account is @datasociety
OpenPlans,Non-profit tech org building open source tools for better cities and transportation.
Challenge Post,ChallengePost is now Devpost! Follow us @DevpostHacks & http://t.co/HjpRSi9Sk4
Department of Better Technology,We are dedicated to making great software that helps governments and non-profits better serve their communities.
Ron Bouganim,"Father of two awesome kids. Also, founder of @GovtechFund."
Todd Park,@WhiteHouse tech advisor. Looking for amazing technologists & innovators interested in serving our country! Tweets may be archived: http://t.co/eVVzoBb3Zr
Joi Ito,"Director, MIT Media Lab"
Ethan Zuckerman,"Center for Civic Media, MIT Media Lab, Global Voices, Berkman Center. Author of Rewire, published by W.W. NortonRT â‰  endorsement, RT = interesting read."
Laurenellen McCann,"A little bit Sarah Silverman, a little bit Sarah Connor. @OTI #civicinnovation. @SmartChicago @SunFoundation alum. #buildwith #civictech #dcarts TIME 30 unda 30"
Peter Singer,Half serious tweets.  Author http://t.co/y8qeh2Gx8p ;   Strategist + Sr Fellow @NewAmerica :  Founder http://t.co/LstpcHeVEy ;   New book http://t.co/1PjluKvSbE
Michael Flowers,NULL
Beth Noveck,"Founder @TheGovLab, Prof @NYUTandon. Founder White House @OpenGov Initiative Author, Wiki Government and Smart Citizens, Smarter State. On Medium @bethnoveck"
Tim Berners-Lee,"Director of the World Wide Web Consortium (W3C) w3.org, the place to agree on web standards.  Founded webfoundation.org - let  the web serve humanity"
Micah Sifry,"Discontent creator. Co-founder, Personal Democracy Media and https://t.co/JNe1rFceMK."
Anil Dash,"The only person who's ever been retweeted by Prince, Bill Gates, @katies, AvaDuvernay and the White House. Working to make tech & the tech industry more humane."
Susan Crawford,"Contributor to @backchnnl; books (#TheResponsiveCity, #CaptiveAudience); all things tech & Internet"
Hilary Mason,Founder at @FastForwardLabs. Data Scientist in Residence at @accel. I â™¥ data and cheeseburgers.
Baratunde Thurston,"supervising producer @thedailyshow, co-founder @cultivatedwit, co-host @showaboutrace, board @buildnational"
Jessica Lawrence,"Executive Director of @NYTM, Co-Organizer @workrev, writer, speaker, Seth Godin FeMBA grad. Tweets are my own."
Ian Kalin,"Chief Data Officer for @CommerceGov. Veteran of @USNavy, CleanTech, @Energy, @Google and @Socrata.  Proud husband and father. Views here are my own. #OpenGov"
Ellen Miller,"Co-Founder of Sunlight Foundation. Also founder of Center for Responsive Politics and Public Campaign. Money, power, influence and transparency expert. Retired"
Peter Thiel,NULL
Fraeda Kapor Klein,NULL
Jared Cohen,"Director of Google Ideas & Senior Fellow at CFR. Author of 4 books: One Hundred Days of Silence, Children of Jihad, The New Digital Age, Accidental Presidents"
Eric Schmidt,Executive Chairman & former CEO
Eric Ries,Trying to change how startups are built.
MIT Center for Civic Media,"The MIT Center for Civic Media works hand-in-hand with diverse communities to collaboratively create, design, deploy, and assess civic media tools and practices"
Nancy Lublin,"CEO/Founder https://t.co/7aYciR9bLT. (Former CEO, https://t.co/vEqzQQfrzY; Founder, https://t.co/6gA4Ul1oYc) Mom x 2. Allergic to peppers. Comments my own."
Betaworks Studio,We build and invest in great companies. CEO: @Borthwick.
Codecademy,The easiest way to learn to code.
Level Playing Field Institute,The Level Playing Field Institute: diversifying tech one SMASH Scholar at time.
Girls Who Code,We are Girls Who Code & together we are closing the gender gap in tech! Apply to our Summer Immersion Program & join our movement! #BeAGirlWhoCodes
New York State Governer's Office,Official Twitter account for the Governor of New York State. Social Media Use Policy: http://t.co/Oazy5b89ii
Bloomberg Philanthropies,"Bloomberg Philanthropies works primarily to advance five areas globally: the Arts, Education, the Environment, Government Innovation and Public Health."
Open Society Foundations,The Open Society Foundations work to build vibrant and tolerant democracies whose governments are accountable to their citizens.
Clay Shirky,ITP NYU Shanghai
World Business Chicago,"Chaired by Mayor @RahmEmanuel, WBC drives economic growth and job creation in the region. Home to @ChiSisterCities & #ChicagoNEXT"
Chicago Innovation Exchange,"The Chicago Innovation Exchange is about shared space, connections & collaboration, providing resources for UChicago and South Side entrepreneurs."
Blue 1647,"A technology innovation center where diverse people making positive impact in the world gather to create, collaborate, learn, and build. Founded by @emilecambry"
Data Science for Social Good,Eric & Wendy Schmidt Data Science for Social Good fellowship is a @UChicago summer program for data scientists to work on problems with social impact
Urban Center for Computation and Data,Urban Center for Computation and Data
Local Initiatives Support Corporation,LISC Chicago connects neighborhoods to the resources they need to become stronger and healthier. http://t.co/J29yg4j0z5
Chicago Data Visualization User Group,"This is a group of data visualization enthusiasts interested in networking, learning, professional development, and competing in visualization contests."
Chicago Open Data Institute,"Webitects is the Chicago node of the international Open Data Institute. Our designers, developers, and collaborators work to provide  Knowledge for Everyone."
City Data User Group,"User group for end users of Chicago City Data.  Business users, analysts, enthusiasts, students.  You don't have to be a developer to love Chicago's city data!"
Year Up,"Our mission is to close the #OppDivide by providing urban young adults with the skills, experience, and support that will empower them to reach their potential."
IC Stars,"i.c. stars is a nonprofit that provides an opportunity for change-driven, future leaders to develop skills in business and technology."
Smart Chicago Collaborative,A civic organization devoted to making lives better in Chicago through technology.
Founder Institute,The world's largest #entrepreneur training & #startup launch program. Like our tweets? Sign up for exclusive content: http://t.co/d3DKWrYowf #FIworldwide
Illinois Technology Association,The Illinois Technology Association (ITA) is a driving force behind the growth of Illinois' vibrant technology industry.
Built in Chicago,"Everything you need to know about startups and tech companies in Chicago. Check out https://t.co/QhBOSD7qjX for tech jobs, news, events and more"
Economic Club of Chicago,Fostering connections among Chicago leaders to encourage dialogue on economic and social issues and to cultivate the next generation of civic leadership.
Illinois Department of Commerce and Economic Opportunity,The Illinois Department of Commerce is the State Agency that leads economic development efforts for Illinois. Our main focus is to retain and create jobs.
Argonne National Laboratory,"As an @ENERGY lab, Argonne delivers science and tech solutions to great energy, environmental and security challenges."
Chicago Public Library Foundation,"Opened in 1873, Chicago Public Library has locations in every Chicago neighborhood and offers services and products to those of all ages - for FREE."
Ashton Kutcher,"I make stuff, actually I make up stuff, stories mostly, collaborations of thoughts, dreams, and actions. Thats me."
Causes,"Discover, support and organize campaigns around issues that impact you. Now part of @JoinBrigade! Get the app for iOS or Android: https://t.co/BIGGo29OL3"
Change.org,The worldâ€™s largest petition platform. Our mission is to empower people everywhere to create the change they want to see.
Pierre Omidyar,"Be you. Be cool. eBay, Omidyar Network, Peer News/Civil Beat, First Look. DCD2 BC7F 5341 A2B9 B188 928A 2CB2 7535 C8A5 4876"
Razoo,Razoo is crowdfunding for causes. See how we're creating a new generation of everyday philanthropists at http://t.co/1XGxAr7yU2
ReAllocate,ReAllocate delivers adaptive design and engineering solutions to vetted partner organizations focused on base of the pyramid issues.
Ron Conway,NULL
Sean Parker,"Napster, Plaxo, Facebook, Causes, Spotify & Airtime = https://t.co/pEfbUoDYae"
Chicago Mayor's Office,The Office of Mayor Rahm Emanuel http://t.co/ZkH3dy2e3f
Mozilla Foundation,"We're a global community dedicated to making the web better and more open for all. Join us to imagine, build & teach the web's future."
Dudley Street Neighborhood Initiative,NULL
Code for Boston,Reinventing government and civic responsibility in Boston. Connect at hello@codeforboston.org
Illinois Workforce Investment Board,"Illinois workNetÂ® and Illinois Pathways, together, are supporting college and career readiness for all students throughout the state of Illinois."
Enigma,NULL
Tech Stars,Techstars is a global ecosystem that empowers entrepreneurs to bring new technologies to market wherever they choose to build their business.
Heat Seek NYC,"Keeping the heat on this winter and making New York City a safer, warmer place to live"
San Francisco Citizens Initiative for Technology and Innovation,Supporting San Francisco as the innovation capital of the world by partnering the top technology companies in SF with City leadership and needs.
Thrive Capital,NULL
Peter Frishauf,"Digital health consultant (founder, @Medscape). Director @StreetsPAC, @NYCHBL. Co-founder @Streets_Academy, @Vision_Hero"
Adam Becker,"Code, bikes, soccer, coffee. Helping fix government @dobtco. Serial em dash abuser."
Carol Crump,"Wears many hats, helmets and wigs: Co-founder @Streets_Academy, @Vision_Hero. @StreetsPAC. @evccnyc. @callallparties ... Only her hairdresser knows for sure."
The Governance Lab at NYU,"Studying, teaching and designing open & participatory institutions thanks to @macfound, @knightfdn and http://t.co/rVanmmsqJ9. #gov30 #opendata #opengov"
Fatima Sarah Khalid,I code for the people @TheCityofBoston | CS x Journalism grad @NYUengr | frmr Civic Tech Fellow @MicrosoftNY | #SmartCities #VirtualReality #Games
Sunlight Foundation,The Sunlight Foundation is a nonpartisan nonprofit that advocates for open government globally and uses technology to make government more accountable to all.
Amen Ra Mashariki,@NYCAnalytics Chief Analytics Officer â€¢ @USOPM CTO â€¢White House Fellow â€¢ Thoughts = Mine
Palantir,News and updates from Palantir
Amicus,Amicus Post lets your volunteers send real physical postcards through US mail in just a few clicks. Volunteer powered direct mail for campaigns and nonprofits.
B. Madhusudan,NULL
Aidan Feldman,"bureaucrat @18F, instructor @nyuniversity, dancer Artichoke Dance, danceTactics & @BSPdancearts, organizer @hackerhours, open-sorcerer http://t.co/MryMy6Um7i"
Seth Banon,Seth Bannon. Social entrepreneur. Founder of @AmicusHQ and https://t.co/5KOj3dW7ps. @YCombinator alum. Vegan.
Marc Shifflett,First harden the cider then maybe begin to explore larger issues?
Joly MacFie,NULL
Joanna Oltman Smith,"Full-time Mother plus NYC Public School volunteer, NYPD 78th Pct. Community Council VP, Community Board 6 Brooklyn. Likes bikes/poetry."
Jefferson Center,Using citizen deliberation to advance the individual and collective power to drive politics and community action.
Center for Neighborhood Technology,"Center for Neighborhood Technology | National hub for research, strategies + solutions for sustainable + equitable cities | http://t.co/gC7MFq4TYE"
Erin Simpson,"Build w me @CivicHall. Ups for #civictech, @USRebelAlliance. Down w the patriarchy."
Blue Ridge Labs,"Brooklyn-based social impact incubator. Our programs encourage entrepreneurs, designers, & developers to build products for communties overlooked by technology."
danah boyd,NULL
GoldieBlox,Empowering girls to be leaders in STEM with smart toys and awesome content. Founded by @debbieblox in 2012.
Transit Future,"A campaign to build a 21st Century transit system in Cook County, making the region more livable, economically competitive, and environmentally sustainable."
John Paul Farmer,Director of Tech & Civic Innovation @MicrosoftNY â€¢ Fmr Sr Advisor @WhiteHouse â€¢ Co-founder Presidential Innovation Fellows â€¢ MiLB Shortstop @Dodgers & @Braves
Anthony Townsend,"Author of SMART CITIES, visiting scholar @NYU_Rudin, principal at https://t.co/uvm0o6uShQ"
Andrew Rasiej,"Civic Entrepreneur, Founder of Personal Democracy Media, Civic Hall, Senior Advisor to the Sunlight Foundation, Chairman of NY TechMeetup"
Anne-Marie Slaughter,"President & CEO, @newamerica. Former Princeton Prof & Director of Policy Planning, U.S. State Dept. Mother. Mentor. Foodie. Author. Foreign policy curator."
Columbia University in the City of New York,"For more than 250 years, Columbia has been a leader in higher education in the nation and around the world."
San Francisco Mayor's Office of Civic Innovation,San Francisco Mayor's Office of Civic Innovation
MIT Media Lab,News from the MIT Media Lab
Matt Stempeck,As featured in Paper.li
Department of State,"Welcome to the official U.S. Department of State Twitter account!  Secretary Kerry tweets from @JohnKerry."
Planet Lab,We're a design collaborative dedicated to excellence in teaching and learning; we partner with youth and teachers to design innovative learning games and media.
The White House,"Follow for the latest from President Obama and his Administration. For tweets from the President, follow @POTUS. Tweets may be archived: https://t.co/eVVzoBb3Zr"
DJ Patil,Follow me at @dj44 for official tweets. Views are my own here.
Mitchell Kapor,"entrepreneur, investor, activist"
Steve Case,"Co-founder of AOL; now Chairman of Case Foundation and Revolution (LivingSocial, Zipcar, Exclusive Resorts, Everyday Health, FedBid, Miraval, etc)"
Boston Mayor's Office,"Mayor, City of Boston. Tweets by staff with tweets from the Mayor signed MJW."
Nick Grossman,GM at @usv. Father of two. Student of cities and the Internet.
New Amsterdam Ideas,Nuams is now @GetNuCivic.
Open Government Partnership,"A new effort to foster greater transparency and accountability, improve governance, and increase civic engagement worldwide. #opengov"
NYU Center for Urban Science and Progress (CUSP),"CUSP is a historic partnership with NYU, New York City and several academic & industrial partners coming together to make cities more sustainable and livable."
Hollie Russon-Gilman,"Civic Innovation, Drinking Tea. @NewAmerica @ColumbiaSIPA @GUImpact Fmr White House #OpenGov + #Innovation Gov PhD @Harvard. Author Democracy Reinvented"
DoSomething.org,Text JOIN to 38383 to be part of this movement of 4.8 million young people making the world suck less.
General Assembly,"Transforming thinkers into creators through education & opportunities in tech, business, & design. Connect locally: https://t.co/q5XZpqm5bz"
New York University,The Official Twitter Account of New York University
Center for Technology and Civic Life,Plug in. Get connected. Stay current. A project of @HelloCTCL.
Noel Hidalgo,"@BetaNYC's Executive Director, a #CfAbrigade; @datasociety fellow; #BikeNYC instigator; Formerly @NYSenate @Davos @CodeForAmerica @guardianproject."
Acts of Sharing,| 2011 #SXSW Interactive Finalist | Extravagant Generosity. Outrageous Love. Where You Are. Join Us! #WhyIShare #ActsofSharing #GenerosityDinners
AlertID,Helping People Live Safely. AlertID is the safe way to receive trusted public safety alerts and share information with neighbors. Join for free today!
Jumo International,NULL
Dallant Networks,"CEO of dallant.networks: leading networks for global impact (World Bank, Gates, Ford, Skoll...) Motto: Only jet. No lag."
Data Docs,NULL
Junar,NULL
APPCityLife,Easy to Use Mobile Publishing Platform for Cities #CivicTech #GovTech #OpenData
DataUY,"DATA tiene como misiÃ_n la creaciÃ_n de herramientas para el accionar colectivo, participativo y colaborativo, apoyÃ¡ndose en la comunidad a travÃ©s de las TIC."
Appfirca International,"Appfrica helps the world's leading companies invest and manage assets in over 16 African countries. Also follow us at @appfrica_fund, @statfrica, @hivecolab"
Datawrapper,"A tool to create charts and maps for the web in minutes, not hours. Used in leading newsrooms around the world. #ddj"
Areyoulocal.co.uk,NULL
AskThem.io,The only free & open-source website for questions-and-answers with every U.S. elected official and more public figures. From non-profit @ppolitics.
Purpose,NULL
Aunt Bertha,"Aunt Bertha helps people find food, health, housing and employment programs."
Delib,"Things that excite us: digital democracy, citizen involvement, placemaking, mayors, budget consultation, deliberation, participative governance, civic tech."
Kartag,NULL
Detroit SOUP,A microgranting dinner celebrating and supporting projects in #Detroit and its neighborhoods - funds from Detroiters for Detroiters.
Carma Car Pool,"World leader in carpooling, carsharing and the the ownerless car. https://t.co/oxDg7LnrW3 #freedomtogo"
Bang the Table,We believe in community dialogue. We built @engagementHQ and @BudgetAllocator. Tweet about #communityengagement #civicengagement #digitalengagement #socgov
Development Seed,Winning with open data
KEO Films.com,Connecting people who want to grow their own food to space where they can grow it. We've got  an iPhone App too: http://t.co/RZ4DRssR
LegCyte,"Creating business intelligence tools for Congressional staffers, lobbyists and corporate GR teams. We're making legislation simple and smart."
Brightidea,"Hello, innovators! Please note as of 7/13/15 @BrightideaHQ will be tweeting as @Brightidea."
DrawLive,"Urban walking route planner - generates routes between 2 points and circular routes. We think walking is the smart choice - quick, free, healthy and green!"
BudgIT,NULL
LegiNation,BillTrack50 provides convenient and user-friendly 50-state legislative data to both citizens and those with a professional interest. (Personal tweets @Smoodle)
BuitenBeter,BuitenBeter is een applicatie voor smartphones waarmee je snel en makkelijk een probleem meldt bij je gemeente.
Embark,"We make free, fast and simple mobile apps for mass transit riders worldwide. Let's Embark. support@letsembark.com"
Legistorm,NULL
Buycott,Empowering consumers to effect global change by voting with their wallets.
Buzzcar,"La meilleure faÃ§on de louer une voiture pour partir en weekend ! #marketplace #peertopeer Aussi en Allemagne @drivyDE et en Espagne @drivyES"
Leihdirwas GmbH,Die Leih und Verleihplattform. Kostenlos registrieren und sofort Geld verdienen.
Environmental Systems Research Institute,"Esri helps you create a better world with the visionary ArcGIS platform for web maps, location apps, business analytics, geodesign & citizen engagement."
California Common Sense,"California Common Sense is a Silicon Valley nonprofit promoting #gov transparency & civic engagement. #OpenData + #CAbudget, education, health, pension policy."
The Arizona Community Foundation,NULL
Carloco Limited,NULL
Flinc AG,flinc ist deine Mitfahr-App fÃ_r jeden Tag! Impressum: https://t.co/SMhWudMcNf Presse: https://t.co/Rs8dtclKCy
Centrum Cyfrowe Projekt,Think-and-do tank budujÄ…cy w Polsce spoÅ‚eczeÅ„stwo cyfrowe.
Lenddo,NULL
LikeMinded,NULL
Change by US,"A new way to share ideas, create projects, build teams, and make our city better."
CitiVox,Citizinvestor is a crowdfunding and civic engagement platform for local government projects. Invest in your community today at http://t.co/bDuhe16R3C!
Citizinvestor,NULL
CitySourced,"CitySourced is a Civic Engagement Platform helping Local Governments to better connect with citizens through our simple, but powerful communication app."
CityzenCar,NULL
Civic Industries,We're harnessing the power of information to help build thriving communities. (Formerly BlightStatus) hello@civicinsight.com
Civinomics,Your Online Civic Experience. Web platform for #crowdsourcing solutions to local problems and fostering engagement.
Comuto,NULL
Councilpedia,Nonpartisan good government group dedicated to making democracy work for all New Yorkers since 1897.
coUrbanize,"We help developers, planners, and residents work together to build better cities. Shape the future of your community with us!"
Crime Reports,NULL
LiquidFeedback,LiquidFeedback â€¢ The Democracy Software
